Year,Job Category,Job Title,Salary (USD),Country Code,Location Group,Experience Level,Employment Type,Work Model
2023,Data Scientist,Director of Data Science,157500,United States,Global,Executive-level,Full-time,On-site
2023,Data Scientist,Data Science,145000,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Science,115000,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,100000,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analyst,89000,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analyst,76000,United States,Global,Senior-level,Full-time,On-site
2023,Data Architect,Data Architect,263100,United States,Global,Senior-level,Full-time,On-site
2023,Data Architect,Data Architect,126300,United States,Global,Senior-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,319000,United States,Global,Senior-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,221000,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,200000,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,150000,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analyst,116700,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analyst,93400,United States,Global,Senior-level,Full-time,On-site
2023,Other,Data Developer,100000,United States,Global,Mid-level,Full-time,On-site
2023,Other,Data Developer,95000,United States,Global,Mid-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Infrastructure Engineer,247000,United States,Global,Senior-level,Full-time,Remote
2023,ML/AI Engineer,Machine Learning Infrastructure Engineer,152000,United States,Global,Senior-level,Full-time,Remote
2023,Data Scientist,Data Scientist,268000,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,137500,United States,Global,Senior-level,Full-time,On-site
2023,Other,Research Engineer,150000,United States,Global,Senior-level,Full-time,On-site
2023,Other,Research Engineer,80000,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,187100,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,107600,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,184800,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,161900,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,212000,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,93300,United States,Global,Senior-level,Full-time,On-site
2023,Data Architect,Data Architect,184000,United States,Global,Senior-level,Full-time,On-site
2023,Data Architect,Data Architect,96000,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Analytics Engineer,204000,United States,Global,Mid-level,Full-time,On-site
2023,Data Analyst,Analytics Engineer,112500,United States,Global,Mid-level,Full-time,On-site
2023,Manager/Lead,Data Product Manager,220000,United States,Global,Senior-level,Full-time,On-site
2023,Manager/Lead,Data Product Manager,137500,United States,Global,Senior-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,204500,United States,Global,Mid-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,142200,United States,Global,Mid-level,Full-time,On-site
2023,Data Scientist,Data Scientist,170000,United States,Global,Senior-level,Full-time,Remote
2023,Data Scientist,Data Scientist,140000,United States,Global,Senior-level,Full-time,Remote
2023,Other,Research Engineer,150000,United States,Global,Mid-level,Full-time,On-site
2023,Other,Research Engineer,80000,United States,Global,Mid-level,Full-time,On-site
2023,Data Analyst,Data Analyst,116000,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analyst,110000,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analyst,132000,United States,Global,Entry-level,Full-time,On-site
2023,Data Analyst,Data Analyst,104000,United States,Global,Entry-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,175000,United States,Global,Senior-level,Full-time,Remote
2023,ML/AI Engineer,Machine Learning Engineer,141000,United States,Global,Senior-level,Full-time,Remote
2023,Manager/Lead,Data Product Manager,198000,United States,Global,Senior-level,Full-time,Remote
2023,Manager/Lead,Data Product Manager,151000,United States,Global,Senior-level,Full-time,Remote
2023,Data Analyst,Data Analyst,83000,United States,Global,Entry-level,Full-time,On-site
2023,Data Scientist,Data Scientist,150000,United States,Global,Entry-level,Full-time,On-site
2023,Data Scientist,Data Scientist,204500,United States,Global,Mid-level,Full-time,On-site
2023,Data Scientist,Data Scientist,142200,United States,Global,Mid-level,Full-time,On-site
2023,Data Engineer,Data Engineer,185000,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,130000,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,250000,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,125000,United States,Global,Senior-level,Full-time,On-site
2023,Data Scientist,Data Scientist,81500,United States,Global,Senior-level,Full-time,On-site
2023,Data Analyst,Data Analyst,120500,United States,Global,Senior-level,Full-time,Remote
2023,Data Scientist,Data Science,218000,United States,Global,Executive-level,Full-time,On-site
2023,Data Scientist,Data Science,168000,United States,Global,Executive-level,Full-time,On-site
2023,Data Scientist,Data Scientist,119200,United States,Global,Mid-level,Full-time,Remote
2023,Data Scientist,Data Scientist,86600,United States,Global,Mid-level,Full-time,Remote
2023,ML/AI Engineer,Machine Learning Engineer,184800,United States,Global,Senior-level,Full-time,On-site
2023,ML/AI Engineer,Machine Learning Engineer,161900,United States,Global,Senior-level,Full-time,On-site
2023,Data Engineer,Data Engineer,128600,United States,Global,Mid-level,Full-time,On-site
